transaction_id,user_id,amount,transaction_type,device_type,location,time_of_day,transaction_hour,is_international,previous_transactions,failed_transactions,account_age_days,is_fraud
T00001,U255,43574.75,online,tablet,Singapore,morning,9,1,115,3,35,0
T00002,U661,104351.51,online,desktop,Singapore,night,1,1,15,4,598,1
T00003,U325,211864.52,POS,tablet,Dubai,afternoon,13,1,135,10,550,1
T00004,U327,280370.03,online,tablet,Kolkata,afternoon,15,0,129,10,42,1
T00005,U143,216222.76,online,desktop,Delhi,evening,17,0,11,1,791,0
T00006,U324,156210.96,ATM,mobile,Pune,afternoon,15,0,26,3,573,0
T00007,U497,139215.46,transfer,mobile,Bangalore,night,4,0,9,3,113,0
T00008,U387,79802.98,transfer,desktop,Delhi,evening,19,0,197,8,73,1
T00009,U109,60807.93,POS,desktop,Chennai,morning,10,0,72,3,890,0
T00010,U203,138341.53,online,desktop,Kolkata,night,23,0,97,5,911,0
T00011,U522,211166.34,POS,tablet,New York,night,21,1,153,3,465,1
T00012,U168,266846.77,ATM,mobile,Delhi,night,21,0,63,9,412,1
T00013,U760,212059.73,online,desktop,Delhi,afternoon,12,0,34,6,727,1
T00014,U129,60121.01,online,tablet,Dubai,evening,19,1,1,9,204,1
T00015,U630,39090.19,POS,mobile,Kolkata,night,2,0,194,5,763,0
T00016,U955,162116.76,online,desktop,Dubai,evening,20,1,122,8,313,1
T00017,U309,49326.36,online,desktop,Chennai,night,3,0,199,0,975,0
T00018,U656,160006.25,ATM,desktop,Mumbai,morning,10,0,19,3,784,0
T00019,U889,258083.09,POS,tablet,Singapore,afternoon,12,1,41,5,315,1
T00020,U946,177054.1,POS,tablet,Singapore,morning,5,1,37,8,54,1
T00021,U167,217854.63,ATM,mobile,Dubai,evening,18,1,73,3,542,1
T00022,U694,230618.06,online,tablet,Singapore,night,3,1,15,3,55,1
T00023,U474,194690.24,ATM,desktop,Pune,night,1,0,47,6,736,1
T00024,U120,167847.76,ATM,mobile,Chennai,night,0,0,174,5,482,0
T00025,U988,20938.29,online,mobile,Mumbai,afternoon,13,0,95,10,736,0
T00026,U749,154122.25,online,mobile,Dubai,afternoon,16,1,92,4,36,1
T00027,U773,289468.49,transfer,desktop,Singapore,afternoon,15,1,74,7,598,1
T00028,U297,120642.22,transfer,mobile,Singapore,night,22,1,3,7,873,1
T00029,U196,84305.29,online,mobile,Delhi,night,3,0,149,6,833,1
T00030,U844,182181.47,transfer,tablet,Chennai,evening,18,0,174,10,716,1
T00031,U914,144944.08,online,mobile,Bangalore,morning,6,0,71,1,848,0
T00032,U589,295467.65,POS,tablet,Pune,afternoon,12,0,38,9,520,1
T00033,U733,48203.48,transfer,desktop,Dubai,morning,5,1,120,5,512,0
T00034,U786,229382.59,ATM,desktop,Dubai,night,23,1,152,7,578,1
T00035,U411,286155.71,POS,tablet,Chennai,night,3,0,120,10,114,1
T00036,U153,216760.8,transfer,desktop,Mumbai,night,4,0,71,6,815,1
T00037,U841,29832.68,online,desktop,New York,night,23,1,141,9,54,0
T00038,U967,162954.0,online,tablet,Pune,afternoon,14,0,36,9,436,1
T00039,U431,150933.65,online,tablet,London,evening,17,1,164,0,826,1
T00040,U475,96161.3,transfer,mobile,Pune,evening,19,0,143,9,118,1
T00041,U413,294456.08,POS,mobile,Singapore,afternoon,12,1,13,4,694,1
T00042,U909,29100.95,ATM,desktop,Delhi,morning,10,0,24,10,571,0
T00043,U283,157725.45,POS,desktop,Mumbai,morning,8,0,1,8,968,1
T00044,U296,35598.47,transfer,mobile,Dubai,afternoon,12,1,103,2,147,0
T00045,U576,134186.75,POS,tablet,New York,night,22,1,32,2,162,1
T00046,U859,80201.25,transfer,tablet,Singapore,morning,11,1,187,3,843,0
T00047,U409,105612.43,online,desktop,Chennai,morning,10,0,31,4,83,1
T00048,U770,139252.02,online,desktop,New York,night,22,1,44,6,416,1
T00049,U612,266432.78,ATM,mobile,New York,evening,20,1,46,2,151,1
T00050,U250,125965.85,POS,tablet,Singapore,night,21,1,134,9,528,1
T00051,U778,192604.84,ATM,tablet,Chennai,night,22,0,64,3,626,0
T00052,U411,183221.5,POS,tablet,Mumbai,afternoon,15,0,158,2,959,0
T00053,U558,258059.03,transfer,desktop,Dubai,night,0,1,166,6,887,1
T00054,U447,139862.52,transfer,desktop,Chennai,night,3,0,185,4,678,1
T00055,U815,190859.52,ATM,desktop,London,afternoon,14,1,62,5,263,1
T00056,U732,62094.44,POS,desktop,Chennai,afternoon,13,0,119,6,484,1
T00057,U329,250420.56,online,tablet,Singapore,afternoon,12,1,139,2,290,1
T00058,U327,159399.92,transfer,desktop,Delhi,evening,18,0,44,5,864,0
T00059,U542,708.46,online,tablet,Bangalore,night,3,0,14,3,485,0
T00060,U762,87486.08,POS,desktop,Pune,evening,20,0,194,10,208,1
T00061,U812,286967.85,online,mobile,Bangalore,night,21,0,126,2,635,0
T00062,U155,56332.35,ATM,mobile,Kolkata,morning,9,0,69,6,603,1
T00063,U808,243470.44,transfer,desktop,Mumbai,night,4,0,106,7,188,1
T00064,U653,190784.91,transfer,tablet,Bangalore,afternoon,13,0,67,6,358,1
T00065,U735,139073.77,ATM,tablet,Delhi,afternoon,15,0,170,3,288,0
T00066,U581,221326.07,transfer,desktop,Kolkata,night,2,0,54,10,197,1
T00067,U479,169293.52,online,desktop,Delhi,night,23,0,147,6,462,1
T00068,U768,220916.77,online,tablet,Kolkata,afternoon,14,0,121,4,685,0
T00069,U958,166291.67,POS,mobile,London,night,3,1,180,7,404,1
T00070,U109,273353.96,ATM,mobile,Kolkata,night,22,0,54,7,348,1
T00071,U668,13921.4,ATM,mobile,Dubai,morning,8,1,166,5,905,0
T00072,U801,119176.6,transfer,mobile,Kolkata,afternoon,14,0,30,10,325,1
T00073,U626,276683.06,POS,tablet,Mumbai,night,3,0,168,0,911,0
T00074,U381,73924.96,POS,mobile,Mumbai,afternoon,12,0,77,8,735,1
T00075,U180,7420.7,online,mobile,Bangalore,evening,20,0,127,1,472,0
T00076,U725,97800.23,transfer,tablet,Pune,morning,6,0,129,9,350,1
T00077,U906,185843.5,POS,tablet,Mumbai,afternoon,12,0,145,0,521,0
T00078,U164,267473.64,POS,tablet,Singapore,morning,5,1,9,2,95,1
T00079,U495,157196.99,online,desktop,London,night,21,1,143,7,662,1
T00080,U401,101146.88,online,mobile,Mumbai,night,1,0,11,10,749,1
T00081,U168,277188.5,transfer,mobile,Pune,evening,19,0,153,2,598,0
T00082,U108,1479.75,ATM,mobile,London,night,4,1,151,3,417,0
T00083,U472,104614.94,ATM,mobile,Mumbai,night,22,0,166,10,255,1
T00084,U436,44496.96,ATM,desktop,London,morning,10,1,154,8,233,0
T00085,U855,147077.44,online,mobile,London,morning,7,1,25,4,916,1
T00086,U634,12080.77,online,desktop,Chennai,morning,7,0,114,8,335,0
T00087,U445,132353.34,ATM,desktop,New York,afternoon,16,1,101,5,806,1
T00088,U644,9813.53,online,desktop,New York,afternoon,14,1,164,7,57,0
T00089,U797,276071.86,transfer,desktop,Dubai,night,4,1,61,7,512,1
T00090,U631,43307.14,transfer,tablet,Bangalore,night,4,0,176,4,701,0
T00091,U258,72072.78,online,tablet,Kolkata,night,3,0,61,2,66,0
T00092,U675,54248.66,online,mobile,Chennai,night,21,0,110,6,593,1
T00093,U866,285418.05,online,mobile,Chennai,morning,6,0,99,2,791,0
T00094,U543,173592.94,online,desktop,Mumbai,morning,5,0,15,4,511,0
T00095,U244,3698.15,POS,desktop,Singapore,evening,18,1,187,2,550,0
T00096,U920,264915.39,transfer,mobile,Dubai,morning,6,1,191,10,342,1
T00097,U425,81858.62,ATM,mobile,Dubai,morning,9,1,58,1,157,0
T00098,U935,112227.36,transfer,mobile,London,night,3,1,46,6,725,1
T00099,U580,132863.67,transfer,mobile,Mumbai,afternoon,16,0,6,3,392,0
T00100,U520,215888.69,POS,desktop,Chennai,afternoon,13,0,195,3,793,0
T00101,U281,80953.11,ATM,mobile,Dubai,night,21,1,190,9,368,1
T00102,U978,5019.27,transfer,mobile,London,night,3,1,60,5,351,1
T00103,U505,226073.56,transfer,tablet,Kolkata,night,1,0,49,2,125,1
T00104,U438,53861.34,ATM,mobile,London,night,21,1,90,7,176,1
T00105,U516,232303.11,transfer,tablet,Dubai,evening,18,1,14,10,323,1
T00106,U394,292608.45,POS,desktop,New York,night,0,1,72,4,879,1
